date,ticker,open,high,low,close,volume,adjclose
1/19/2021,GOOG,1752.25,1809.275024,1741.459961,1790.859985,1734600,1790.859985
1/20/2021,GOOG,1831.459961,1903.709961,1825.530029,1886.900024,2490300,1886.900024
1/21/2021,GOOG,1898,1934.859985,1887.109985,1891.25,2063900,1891.25
1/22/2021,GOOG,1895.680054,1910.949951,1881.76001,1901.050049,1272100,1901.050049
1/25/2021,GOOG,1920.670044,1929.579956,1867.530029,1899.400024,1927300,1899.400024
1/26/2021,GOOG,1888.839966,1925,1884.244995,1917.23999,1313100,1917.23999
1/27/2021,GOOG,1882.530029,1890,1809,1830.790039,2748300,1830.790039
1/28/2021,GOOG,1843.939941,1898.829956,1842.640015,1863.109985,1773100,1863.109985
1/29/2021,GOOG,1846.170044,1857.280029,1810.199951,1835.73999,1612600,1835.73999
2/1/2021,GOOG,1853.569946,1922.391968,1850.930054,1901.349976,1602200,1901.349976
2/2/2021,GOOG,1922.560059,1955.76001,1914.48999,1927.51001,2273700,1927.51001
2/3/2021,GOOG,2073,2116.5,2018.380005,2070.070068,4118200,2070.070068
2/4/2021,GOOG,2068.889893,2078.550049,2042.589966,2062.370117,1852300,2062.370117
2/5/2021,GOOG,2070,2102.51001,2059.330078,2098,1535100,2098
2/8/2021,GOOG,2105.909912,2123.547119,2072,2092.909912,1241900,2092.909912
2/9/2021,GOOG,2078.540039,2105.129883,2078.540039,2083.51001,889900,2083.51001
2/10/2021,GOOG,2094.209961,2108.370117,2063.090088,2095.379883,1135500,2095.379883
2/11/2021,GOOG,2099.51001,2102.030029,2077.320068,2095.889893,945700,2095.889893
2/12/2021,GOOG,2090.25,2108.820068,2083.129883,2104.110107,855700,2104.110107
2/16/2021,GOOG,2104.360107,2152.679932,2104.360107,2121.899902,1133800,2121.899902
2/17/2021,GOOG,2100,2133.659912,2098.919922,2128.310059,1070900,2128.310059
2/18/2021,GOOG,2110.389893,2132.735107,2103.709961,2117.199951,1121600,2117.199951
2/19/2021,GOOG,2119.27002,2130.530029,2097.409912,2101.139893,1457400,2101.139893
2/22/2021,GOOG,2067,2091.419922,2062.139893,2064.879883,1367500,2064.879883
2/23/2021,GOOG,2025.01001,2082.01001,2002.02002,2070.860107,1667400,2070.860107
2/24/2021,GOOG,2041.829956,2100.780029,2038.130005,2095.169922,1248300,2095.169922
2/25/2021,GOOG,2067.449951,2094.879883,2021.290039,2031.359985,1828400,2031.359985
2/26/2021,GOOG,2050.52002,2071.01001,2016.060059,2036.859985,2083500,2036.859985
3/1/2021,GOOG,2056.52002,2086.52002,2046.099976,2081.51001,1404500,2081.51001
3/2/2021,GOOG,2076.189941,2104.370117,2071.26001,2075.840088,1134600,2075.840088
3/3/2021,GOOG,2067.209961,2088.518066,2010,2026.709961,1484200,2026.709961
3/4/2021,GOOG,2023.369995,2089.23999,2020.27002,2049.090088,2118000,2049.090088
3/5/2021,GOOG,2073.120117,2118.110107,2046.415039,2108.540039,2195200,2108.540039
3/8/2021,GOOG,2101.129883,2128.810059,2021.609985,2024.170044,1647400,2024.170044
3/9/2021,GOOG,2070,2078.040039,2047.829956,2052.699951,1697300,2052.699951
3/10/2021,GOOG,2071.76001,2075,2033.369995,2055.030029,1268600,2055.030029
3/11/2021,GOOG,2074.060059,2125.699951,2072.379883,2114.77002,1239100,2114.77002
3/12/2021,GOOG,2085,2090.26001,2047.550049,2061.919922,1725800,2061.919922
3/15/2021,GOOG,2062.300049,2067.060059,2043.51001,2066.48999,1298100,2066.48999
3/16/2021,GOOG,2078.98999,2123.560059,2070,2092.52002,1491600,2092.52002
3/17/2021,GOOG,2076.030029,2109.780029,2054,2091.080078,1299000,2091.080078
3/18/2021,GOOG,2061,2075.5,2033.550049,2036.219971,1361400,2036.219971
3/19/2021,GOOG,2042.050049,2053.100098,2017.680054,2043.199951,2314900,2043.199951
3/22/2021,GOOG,2041.839966,2057.98999,2026.069946,2038.589966,1954800,2038.589966
3/23/2021,GOOG,2051.699951,2072.302002,2039.219971,2052.959961,1367000,2052.959961
3/24/2021,GOOG,2065.370117,2078.209961,2041.555054,2045.060059,1154000,2045.060059
3/25/2021,GOOG,2044.810059,2058.870117,2010.72998,2044.359985,1418900,2044.359985
3/26/2021,GOOG,2038.859985,2050.98999,2014.02002,2035.550049,1493500,2035.550049
3/29/2021,GOOG,2027.880005,2058.429932,2015.619995,2055.949951,1229800,2055.949951
3/30/2021,GOOG,2057.629883,2070.780029,2044.030029,2055.540039,1036600,2055.540039
3/31/2021,GOOG,2059.120117,2093.326904,2056.745117,2068.629883,1459900,2068.629883
4/1/2021,GOOG,2097.949951,2142.939941,2096.889893,2137.75,1699000,2137.75
4/5/2021,GOOG,2152.939941,2237.310059,2151.620117,2225.550049,2164900,2225.550049
4/6/2021,GOOG,2222.5,2237.659912,2214.800049,2224.75,1353000,2224.75
4/7/2021,GOOG,2226.129883,2255,2225.330078,2249.679932,1289900,2249.679932
4/8/2021,GOOG,2277.959961,2284.004883,2257.679932,2265.439941,1358300,2265.439941
4/9/2021,GOOG,2256.699951,2289.040039,2253.714111,2285.879883,1044400,2285.879883
4/12/2021,GOOG,2266.25,2275.320068,2238.465088,2254.790039,1565900,2254.790039
4/13/2021,GOOG,2261.469971,2277.209961,2256.090088,2267.27002,1165500,2267.27002
4/14/2021,GOOG,2275.159912,2277.98999,2249.189941,2254.840088,1011000,2254.840088
4/15/2021,GOOG,2276.97998,2306.596924,2266,2296.659912,1373600,2296.659912
4/16/2021,GOOG,2303,2306.439941,2284.449951,2297.76001,1129800,2297.76001
4/19/2021,GOOG,2291.97998,2318.449951,2287.844971,2302.399902,1234400,2302.399902
4/20/2021,GOOG,2307.889893,2309.600098,2271.709961,2293.629883,1088700,2293.629883
4/21/2021,GOOG,2285.25,2295.320068,2258.570068,2293.290039,1196500,2293.290039
4/22/2021,GOOG,2293.22998,2303.761963,2256.449951,2267.919922,1054800,2267.919922
4/23/2021,GOOG,2283.469971,2325.820068,2278.209961,2315.300049,1433500,2315.300049
4/26/2021,GOOG,2319.929932,2341.26001,2313.840088,2326.73999,1041700,2326.73999
4/27/2021,GOOG,2336,2337.449951,2304.27002,2307.120117,1598600,2307.120117
4/28/2021,GOOG,2407.14502,2452.37793,2374.850098,2379.909912,2986400,2379.909912
4/29/2021,GOOG,2410.330078,2436.52002,2402.280029,2429.889893,1977700,2429.889893
4/30/2021,GOOG,2404.48999,2427.139893,2402.159912,2410.120117,1957100,2410.120117
5/3/2021,GOOG,2402.719971,2419.699951,2384.5,2395.169922,1689400,2395.169922
5/4/2021,GOOG,2369.73999,2379.26001,2311.699951,2354.25,1756000,2354.25
5/5/2021,GOOG,2368.419922,2382.199951,2351.409912,2356.73999,1090300,2356.73999
5/6/2021,GOOG,2350.639893,2382.709961,2342.337891,2381.350098,1030900,2381.350098
5/7/2021,GOOG,2400,2416.409912,2390,2398.689941,1163600,2398.689941
5/10/2021,GOOG,2374.889893,2378,2334.72998,2341.659912,1300300,2341.659912
5/11/2021,GOOG,2291.860107,2322,2283,2308.76001,1605500,2308.76001
5/12/2021,GOOG,2261.709961,2285.370117,2230.050049,2239.080078,1746700,2239.080078
5/13/2021,GOOG,2261.090088,2276.601074,2242.719971,2261.969971,1333500,2261.969971
5/14/2021,GOOG,2291.830078,2321.139893,2283.320068,2316.159912,1331200,2316.159912
5/17/2021,GOOG,2309.320068,2323.340088,2295,2321.409912,992100,2321.409912
5/18/2021,GOOG,2336.906006,2343.149902,2303.159912,2303.429932,865100,2303.429932
5/19/2021,GOOG,2264.399902,2316.76001,2263.52002,2308.709961,967500,2308.709961
5/20/2021,GOOG,2328.040039,2360.340088,2321.090088,2356.090088,1191600,2356.090088
5/21/2021,GOOG,2365.98999,2369,2342.370117,2345.100098,1141600,2345.100098
5/24/2021,GOOG,2367,2418.47998,2360.110107,2406.669922,1062200,2406.669922
5/25/2021,GOOG,2420,2432.889893,2402.98999,2409.070068,941900,2409.070068
5/26/2021,GOOG,2412.834961,2442.944092,2412.514893,2433.530029,1092800,2433.530029
5/27/2021,GOOG,2436.939941,2440,2402,2402.51001,1948100,2402.51001
